job_id,title_raw,our_family_code,our_sector,soc_code,soc_title,match_tier,matched_onet_title,job_zone
bb55c26e-fc03-4a46-a774-21fa5cbfeac6,"Wind Hub Technician- Traverse, OK",transmission_linework,energy,49-9081.00,Wind Turbine Service Technicians,fuzzy,Wind Technician,3
db6a4f00-b1e1-470a-a28f-62dc5fe8bb10,"Wind Technician- Horse Creek (Weinert, TX)",transmission_linework,energy,49-9081.00,Wind Turbine Service Technicians,segment,Wind Technician,3
2a15213b-899d-4856-b329-f49fa6ae12b6,Wiring Associate,manufacturing_production,manufacturing,,,unmapped,,
7f02ac08-f3b0-4c46-92b8-4dd331e7647d,Wiring Associate,manufacturing_production,manufacturing,,,unmapped,,
8a8d9e95-9521-4fe3-aed0-ea241ab3115d,Wiring Associate,manufacturing_production,manufacturing,,,unmapped,,
9ad929a9-6066-4409-baf7-81d214deb199,Wiring Associate,manufacturing_production,manufacturing,,,unmapped,,
b33c1496-cc62-463b-8758-5351bb031a00,Wiring Associate,manufacturing_production,manufacturing,,,unmapped,,
c097f62f-195c-4b32-9e6b-c4f71d295ed6,Wiring Associate,manufacturing_production,manufacturing,,,unmapped,,
c916aeca-94d2-4025-b270-384f697bd983,Wiring Associate,manufacturing_production,manufacturing,,,unmapped,,
6a74db91-6fc1-4c43-85df-e507bed9755b,Wiring Technician,electrical,construction,51-2022.00,Electrical and Electronic Equipment Assemblers,exact,Wiring Technician,2
4fe2ae1d-924f-418d-97da-a23c088f1919,Wiring Technician - 2nd Shift,electrical,construction,51-2022.00,Electrical and Electronic Equipment Assemblers,exact,Wiring Technician,2
3e61c307-d428-4f72-9bc1-07ed93c1b394,Wiring Technician - 3rd Shift,electrical,construction,51-2022.00,Electrical and Electronic Equipment Assemblers,exact,Wiring Technician,2
f288b685-3e77-44b0-91ea-0e835cb1905b,Wiring Technician - 3rd Shift,electrical,construction,51-2022.00,Electrical and Electronic Equipment Assemblers,exact,Wiring Technician,2
24f6fa14-88a4-4216-a3d6-630e6181fa45,Wiring Technician-1st Shift,electrical,construction,51-2022.00,Electrical and Electronic Equipment Assemblers,exact,Wiring Technician,2
a22d790c-c482-461c-b580-5384dc66b200,Wiring Technician-1st Shift,electrical,construction,51-2022.00,Electrical and Electronic Equipment Assemblers,exact,Wiring Technician,2
